,M_u_-10d,M_u_0d,M_u_10d,M_u_20d,M_u_30d,M_u_40d,M_g_-10d,M_g_0d,M_g_10d,M_g_20d,M_g_30d,M_g_40d,M_r_-10d,M_r_0d,M_r_10d,M_r_20d,M_r_30d,M_r_40d,M_i_-10d,M_i_0d,M_i_10d,M_i_20d,M_i_30d,M_i_40d,M_z_-10d,M_z_0d,M_z_10d,M_z_20d,M_z_30d,M_z_40d,M_y_-10d,M_y_0d,M_y_10d,M_y_20d,M_y_30d,M_y_40d,object_id,i-y_new,r-i_new
10,-20.48477327905006,-20.485269629824387,-20.484805512446144,-20.483537273525968,-20.481602458197585,-20.47903527168816,-20.133583974283823,-20.14107885076497,-20.146985979514568,-20.151257278652423,-20.15386129228486,-20.15478045612689,-19.588120482938702,-19.61557340389365,-19.638085670653396,-19.656113026039876,-19.67004432808183,-19.680214954435257,-19.045761387915363,-19.06215946178604,-19.075702107068523,-19.08644005627488,-19.094436074077308,-19.099766169511145,-17.974224311024145,-17.969738970883526,-17.963657943385343,-17.955719970480885,-17.945735518147103,-17.93357948643701,,,,,,,amath_gwador_helegnen,0.24520439643850978,-0.5880868673562816
11,-25.24169863198142,-25.44390553307107,-25.04719433402599,-23.9840624490096,-22.52692109877293,-22.018123455010013,-25.460112086668502,-25.733010893796063,-25.335361110223076,-24.14717919567931,-22.608605405453066,-22.110061837219007,-25.662000822308713,-25.956778782485586,-25.554823596156496,-24.280081017752423,-22.671739022469197,-22.11989480790129,-25.73220892256441,-25.96839544029862,-25.572349734847094,-24.34703348271944,-22.704884929335023,-22.0465291924982,-25.658758727133034,-25.86078512019525,-25.476452632000175,-24.329423975159017,-22.71491350354501,-21.948605340207937,-25.531859360967783,-25.702617530101065,-25.33112901490975,-24.254540626286413,-22.715844343410023,-21.858651105580226,amlug_loss_ang,-0.26191989451166364,0.008948852819429476
12,-18.630987989901357,-18.3789692603181,-17.69871159071542,-16.66358624067624,-16.00491590251326,-15.667836387330324,-19.179986092046025,-19.05941176847064,-18.68228692375068,-18.292106599432316,-18.138485101895455,-18.034214004466538,-19.68194548246603,-19.660731857235092,-19.455531963137815,-19.239431283499513,-19.104877335482698,-18.989223790639755,-19.917814400593823,-19.96907536997604,-19.87154582138332,-19.723151467664692,-19.554485771251464,-19.361318516124427,-19.965188738153543,-20.058857673767108,-20.01776168791561,-19.917810154027492,-19.76658456031535,-19.5869846359098,-19.90888543727785,-20.03154314379205,-20.029733939719097,-19.961423890041814,-19.841324801381177,-19.698320516257752,amon_imloth_luin,0.06517884132080098,0.26917834135954877
13,-18.018599902653172,-18.359439914596884,-18.39578210454733,-18.049353463873764,-17.341466148085352,-16.103557496956164,-18.645290863806657,-18.994171583139824,-18.87576397334839,-18.47273068468528,-17.856207738515685,-17.109638575684407,-19.028542607138753,-19.40375752670939,-19.20435711139003,-18.798245872035885,-18.340799842190997,-17.905165189251186,-19.027877700780472,-19.398060745241985,-19.24590611277349,-18.89522358295286,-18.621618306444837,-18.33275090574717,-18.850756049066113,-19.227719887921076,-19.136357243095,-18.84279176441864,-18.663387006450215,-18.440953203272834,-18.62455943322258,-19.00587714898804,-18.96838381406432,-18.742690387607716,-18.591834244252176,-18.3996991358297,andrann_puig_fern,-0.370776640153494,-0.0024095570663007493
14,-18.36546209989107,-18.364664071735127,-18.362063586728414,-18.35754780429452,-18.351019399470324,-18.342394212188147,-18.892816977394126,-18.893125771328975,-18.89139507392826,-18.88761337874012,-18.881783061270475,-18.873917967854062,-19.28252572642375,-19.282915995179685,-19.280794793107013,-19.276338513020043,-19.269704994273148,-19.261036455137763,-19.34254964984313,-19.343649153197525,-19.342703643052225,-19.339780745435895,-19.33495237618154,-19.32829334574766,-19.246022362850503,-19.24809861743369,-19.248512829813254,-19.247288437504857,-19.24445422207473,-19.240043096114785,-19.09476953136899,-19.097663686823545,-19.099149697515703,-19.09924522636565,-19.097969171028133,-19.09534170556892,ang_cugu_harad,-0.2442764613166588,0.06057730860786137
15,-16.09943870973892,-16.012099930439604,-15.882726574106757,-15.70566719387493,-15.47596903833538,-15.188525949836531,-16.61954231175983,-16.57282556232957,-16.492094098211908,-16.373277137967506,-16.214214436291797,-16.019889976793735,-17.12313252565386,-17.119492733806382,-17.088745066207736,-17.026921016341234,-16.931870657329313,-16.804747492171117,-17.37963310116487,-17.394532965333994,-17.38253211314435,-17.3353885387983,-17.2415253202399,-17.10402025943712,-17.437533952975144,-17.451424069591866,-17.43788972570144,-17.388401329153552,-17.29470461394756,-17.159306751376903,-17.37678115378722,-17.381495891489777,-17.359808967006188,-17.306658258295016,-17.21825230923639,-17.093964452689818,ang_neledh_aith,-0.012027789280111278,0.26998896939787187
16,-16.753960296259386,-16.76115956789078,-16.76588875143286,-16.768241987279076,-16.76833122221199,-16.766281444747897,-16.928281913302648,-16.93418460917264,-16.937006407251367,-16.9369171001619,-16.934123908961247,-16.928857400492753,-17.10674177853422,-17.1105970372248,-17.109715823667052,-17.104687642701542,-17.095920453955863,-17.083844818637395,-17.18934338529734,-17.192692931170562,-17.189260601492286,-17.179713077998677,-17.164907232739473,-17.14576774877562,-17.156945949371327,-17.159481153475333,-17.156465196979063,-17.14805594899139,-17.13463787371338,-17.116778498937258,-17.073694845539187,-17.075723476913005,-17.07329059700711,-17.066254843491897,-17.054744252675427,-17.039203530388896,angos_rusc_curunir,-0.116969454257557,0.0818940068667473
17,-23.533900533843784,-23.534169866089563,-23.53384704603979,-23.532912511644916,-23.531354694948867,-23.52916944699891,-23.505310546814066,-23.50769992090786,-23.50906330788647,-23.509418594134324,-23.50883477677585,-23.507375792463215,-23.3329650100272,-23.334573344243303,-23.33558444588322,-23.335994207465298,-23.335805662040876,-23.335028600829897,-23.130241080772542,-23.12943380790265,-23.128255433721797,-23.126715347606016,-23.124826502754708,-23.122605608997752,-22.98194002378801,-22.98010339556432,-22.97808847511191,-22.975915152340527,-22.9736048349017,-22.971180405858796,-22.868043229332702,-22.865919544837077,-22.86370321691205,-22.861409739105333,-22.85905400813356,-22.856650166865585,annon_adab_lossen,-0.2502136851570782,-0.20525721333073932
18,-17.813365821843227,-18.048812519163995,-17.468276111878815,-16.453361177844634,,,-17.97831552166317,-18.30865735286016,-17.806891143502305,-17.066168413404547,-15.178935686360385,-14.679248811865556,-18.066163379756212,-18.48732307276405,-18.162286015596894,-17.63001669359671,-16.731317564753702,-16.20407084492711,-18.01302027997402,-18.44190564721469,-18.259699033120008,-17.854221322654276,-17.269547253257706,-16.7361467552251,-17.88277890552731,-18.292165550896307,-18.20039422551249,-17.889084476986433,-17.438778785727813,-16.948242163549857,-17.72034607180121,-18.10948061229106,-18.075964529601173,-17.83598743789735,-17.460982879933333,-17.012616894851455,araf_hub_faun,-0.3155748929787734,-0.040289027938769095
19,-17.936784061554604,-18.001220371534387,-17.548221477517828,-16.39483696060961,,-8.119752220536526,-18.269331541842902,-18.512247320187583,-18.120436602296763,-17.249236199104274,-15.768313516093585,-15.718101675493813,-18.486743566928,-18.825166698879812,-18.48355148330413,-17.812220425151637,-17.23324824453097,-16.760014737211847,-18.482984654022232,-18.826929817633683,-18.552016610987938,-18.00309192654582,-17.53322842952423,-17.1071472854006,-18.361204926986233,-18.693268224433467,-18.47766078395594,-18.006915810469238,-17.540177424597545,-17.17173275893215,-18.19528669078568,-18.516297804619654,-18.348568764252093,-17.932169010071533,-17.474269762291115,-17.12823413322539,aras_ryn_manadh,-0.30900334790935347,0.0005929780785436378
20,-19.1655556354188,-19.167199728859416,-19.166767505486614,-19.16423276914364,-19.15955989879818,-19.152701215625953,-19.407864353358303,-19.40762754880417,-19.40568681961348,-19.402053253670218,-19.39672615322786,-19.389690487557985,-19.58110084297246,-19.57970811630659,-19.57690534072223,-19.572753632123835,-19.56729917057494,-19.560572713478606,-19.59574403988813,-19.59640446783449,-19.595712339131257,-19.59373878348623,-19.590548915264563,-19.5862009397096,-19.52664426151597,-19.530335170248392,-19.532790994559505,-19.534068240751452,-19.534222065741915,-19.53330524913582,-19.420081505290227,-19.425911156696102,-19.430658630309424,-19.43434385707627,-19.436986396500373,-19.43860303735657,badhor_graw_aiglos,-0.1571943550390671,0.015157824671447884
21,-21.880200210173292,-21.88033592521617,-21.88019239215399,-21.879760706496704,-21.879031395082382,-21.877994393617975,-21.70726565480131,-21.70556459681328,-21.703548811606375,-21.7012119388366,-21.698547530060218,-21.69554910003361,-21.336504116038064,-21.332129813908644,-21.32743550235785,-21.322422278343033,-21.31709158691269,-21.311445269632664,-20.96793688845458,-20.96589262161249,-20.963698311320464,-20.96136760674413,-20.958914666358815,-20.95635418348362,-20.623542552577824,-20.62696317759389,-20.630230198168867,-20.633340124859497,-20.63628837728745,-20.63906912200256,-20.256174495377827,-20.263621160677893,-20.27087561927582,-20.27793058257723,-20.28477954728266,-20.291416822612184,badhor_magol_merilin,-0.5979126892371909,-0.3867151777053124
22,-16.27053226445291,-16.264478704977762,-16.25615976411808,-16.245611367935794,-16.23287328576572,-16.217991354709895,-16.79873365262543,-16.793180287956858,-16.785929370384338,-16.776978710798204,-16.766325408432223,-16.75396774154372,-17.229274256194515,-17.22663663490364,-17.222809777213584,-17.217760916951775,-17.2114525320997,-17.20384347338694,-17.395166820293284,-17.39503414685339,-17.393792434843306,-17.391385457980064,-17.38774018957946,-17.38276486376448,-17.39771197832603,-17.398296006739415,-17.39779774119647,-17.39620247321622,-17.39349626051073,-17.389668283982502,-17.325283517998386,-17.326300050916828,-17.326281817627404,-17.32520840240025,-17.32305246703619,-17.319778091950823,badhor_onodrim_alagos,-0.06882246820448756,0.1641372643717034
23,-18.29732699838238,-18.180867068579964,-17.118474366049703,,,,-18.53611439520264,-18.56012747210041,-17.845245139852032,-16.393858536342428,-14.660233813297388,,-18.70846716569647,-18.857792906921222,-18.479714863952275,-17.67073046148635,-17.041775309093914,-15.909008670597425,-18.718976025997986,-18.871826071199003,-18.63806709689556,-18.08254390525159,-17.57214282495098,-16.80892871493635,-18.635885213553145,-18.763324276945305,-18.589724064560777,-18.170278012091565,-17.722135128055264,-17.102085062926584,-18.510120897183377,-18.61595105780045,-18.47135357507488,-18.131414958384035,-17.731138059529094,-17.1956495523576,baneth_pilin_tachol,-0.25587501339855123,0.012826734922569472
24,-17.881683631963575,-17.865966713471103,-17.845203874897642,-17.81979287559418,-17.79044385440654,-17.758264819861274,-18.950835457470824,-18.948459791333285,-18.94252380145181,-18.933122401217396,-18.920476292916128,-18.904947279159124,-19.653680284134033,-19.65600898382969,-19.654134933246205,-19.64808265524255,-19.637933946281983,-19.62381472795007,-19.9775111631378,-19.979106253483657,-19.97559846855028,-19.967158035043575,-19.953900536973443,-19.93591756008612,-20.073103853400276,-20.075519253098,-20.073400422495578,-20.066550339589703,-20.054757836723404,-20.037780929842175,-20.05924701872255,-20.06201754276396,-20.06101330408635,-20.05606131119901,-20.046994927530825,-20.03366229476611,bragol_bronwe_lagor,0.08292206637707977,0.3072323099497112
25,-13.267790183855674,-10.209420306668257,,,,,-15.180597392978846,-14.67836921243967,-13.890040153843168,-12.05403904182537,,,-16.63816958062528,-16.44249977582505,-16.242406542776543,-16.13800406924134,-16.064609191253417,-15.962860332747802,-17.492110772211056,-17.430595571180255,-17.377360019798367,-17.36836760180369,-17.375834115619945,-17.340444030383402,-17.867468379195437,-17.849854597791513,-17.824705101290427,-17.805972106259823,-17.786344156454128,-17.7345435215121,-17.96594145792691,-17.97811822187419,-17.968216111959542,-17.944548513459345,-17.90628242024936,-17.845281316624927,bragol_nothrim_gas,0.4620058828577527,0.7307206723834412
26,-16.01240141364631,-15.953257418444842,-15.8749790421873,-15.773779841235983,-15.642261223609031,-15.46873514895335,-16.47316912057996,-16.43319541950313,-16.377460952026787,-16.303000308120055,-16.20107726233163,-16.05858604983272,-17.01467088279656,-17.001704235015076,-16.971104301742365,-16.922290034903604,-16.842383549235784,-16.720736335060415,-17.365646620465817,-17.38319902191447,-17.369261413489106,-17.317255314155595,-17.2319778057093,-17.111870378733904,-17.455275673779973,-17.468293509338956,-17.453385897966363,-17.407024163987664,-17.32799220253076,-17.2144508094868,-17.41048841621396,-17.415554423997754,-17.396919228500316,-17.351966388979214,-17.278493238735827,-17.174237687273425,celair_aerlinn_aes,0.03292926393019968,0.36863658236374874
27,-17.639129497716546,-17.77522844978052,-17.702544711500316,-17.40071430969983,-16.776488181672555,-15.594714446878648,-18.149223894978384,-18.32138471466508,-18.18908542840834,-17.82948245390356,-17.190119716468324,-16.03383749960731,-18.430909232481987,-18.64370975196299,-18.478744641652163,-18.11275167220989,-17.528622757431727,-16.509916465106947,-18.32488396091471,-18.520717400760667,-18.40944971757704,-18.105084121854993,-17.658622234170828,-17.00262396288378,-18.056061594197523,-18.251367308399473,-18.1750919512125,-17.90851734576173,-17.603254803335766,-17.209128201586417,-17.741345924610577,-17.94670287224438,-17.899112460244787,-17.688983230875728,-17.470081886029668,-17.202258235291758,cirion_ira_Ithil,-0.5674633490587127,-0.12040759906835774
28,-18.471341938237053,-18.829727134668353,-18.58924709510341,-17.440023310113467,,,-18.76133924922643,-19.110955246896744,-18.871025089121297,-17.899662070278175,-15.480242567856813,-13.31611901977275,-19.068023976161975,-19.353041264712537,-19.112399722401413,-18.336051032767593,-17.20660235127476,-16.79431623625444,-19.148596151518568,-19.409495150400566,-19.198844767670927,-18.58815469372228,-17.891655725785704,-17.603754066747776,-19.10465671021077,-19.35478947804921,-19.18849779747287,-18.703074432576297,-18.21089182125531,-17.970784454098343,-19.0080892301662,-19.248335411607336,-19.1212340393028,-18.73137791425247,-18.34711984769961,-18.12284896999838,corch_faun_min,-0.15881732136303128,0.05348458303235759
29,-18.914976826691856,-18.902843059605416,-18.88500751448815,-18.86161178460995,-18.83296288362598,-18.79958565735248,-19.467979289563488,-19.4675643029352,-19.463138247578613,-19.45469876394246,-19.44245162524365,-19.426925255973103,-19.92156754992567,-19.92855691823617,-19.93345163277432,-19.93591001452573,-19.93540148863964,-19.93121211992043,-20.137526257923085,-20.140443727925344,-20.141619995810103,-20.14146395425088,-20.140366927641736,-20.13732855380779,-20.239426906579467,-20.242406356595936,-20.24297990664462,-20.240655496709564,-20.234952861996547,-20.226198673556897,-20.24547575981664,-20.24678618584167,-20.245482270222865,-20.24133241063376,-20.234257012298713,-20.22492847254557,corf_Mirion_toll,0.1051007405873321,0.20139938131856638
30,-17.6794772124857,-17.65274325901381,-17.616794681747187,-17.57104566167107,-17.51537528436632,-17.450002526564127,-17.898674697096574,-17.880681546028903,-17.851952851948816,-17.812370336195848,-17.7620181390024,-17.7013953024721,-18.058041993476515,-18.053473419493237,-18.039993803227524,-18.015802157152812,-17.979926566786823,-17.933026511844268,-18.07018832817308,-18.073449001507377,-18.069029743594847,-18.055249440887344,-18.031398004381774,-17.99811204995772,-18.032821023683077,-18.031651362147592,-18.025891569266456,-18.014284238824494,-17.99578436393889,-17.970149735498588,-17.961519559688377,-17.956883725820568,-17.94853421101353,-17.93599095868067,-17.918846001396084,-17.89690819694514,cuin_haudh_cenedril,-0.1105888602745182,0.015375088306086582
31,-17.698517954842842,-17.670986821043684,-17.68292552529769,-17.355832560330924,-16.278386797731685,,-18.388460441836955,-18.46883410765672,-18.371135591450127,-17.963450691153867,-16.995950858200374,,-18.883222211317474,-19.12335239408945,-18.889924308103488,-18.460505577646757,-17.773034239132585,-16.792184565173017,-18.93580899761855,-19.18110980093745,-19.025375493278645,-18.662933543438115,-18.124035163904693,-17.53699227365408,-18.827315703833747,-19.058444341360868,-18.988211310338613,-18.68644575850388,-18.248173061813077,-17.797715057186593,-18.68633997418941,-18.905880625639146,-18.877633191183477,-18.63883706137736,-18.27676859188071,-17.916233826624335,cuin_law_amon,-0.2599636527229734,0.054211667973788735
32,,,,,,,-15.983920255971746,-16.176925890692637,-16.349684128770498,,,,-18.13597567984629,-18.161011614190976,-18.184593650062546,,,,-18.928867779094027,-18.938770758075982,-18.94564751370483,,,,-19.33021616696268,-19.33233705209752,-19.331005047069137,,,,-19.453653138048303,-19.455068939233335,-19.453654280961537,,,,dam_corch_agar,0.5066308323554836,0.7505589901891625
33,-19.45842472697045,-19.461186440904527,-19.45989945554707,-19.454525585529183,-19.445062073380623,-19.431538208065277,-19.560963882163037,-19.56414155366558,-19.562273313171573,-19.55530496425729,-19.54329459424909,-19.52640248254825,-19.57444418056724,-19.57745874089379,-19.573845839009067,-19.56304052608428,-19.545693148048,-19.52271759664754,-19.408737175633092,-19.404473822404412,-19.394467381024043,-19.379241123253298,-19.359309859654303,-19.335024493233774,-19.178231025078446,-19.168462212390367,-19.15354920961289,-19.13397798957682,-19.110366943981845,-19.08332292736273,-18.947977360712912,-18.936243438292095,-18.919837877082145,-18.899255170514166,-18.875045308267744,-18.84776175812702,dirnaith_achas_noroth,-0.45189265639571374,-0.16858501535843118
34,-17.744685024518475,-17.841851868390748,-17.73381614479773,-17.492461408814563,-17.19305278373764,-16.947886604156892,-17.888231235418274,-17.98055892947154,-17.87773359955621,-17.657080728606374,-17.367193418407197,-17.128107853933003,-17.94811504681833,-18.04076744571316,-17.974364005844294,-17.820466339059678,-17.575784462400875,-17.331452781074503,-17.901021643938734,-17.994890114002388,-17.959688629310776,-17.845469492122476,-17.65448517611661,-17.444146268911112,-17.786702453264695,-17.88639426589495,-17.8741498043199,-17.7862864676773,-17.638292837785144,-17.467901746780456,-17.624309221100532,-17.740834157398112,-17.750597473383095,-17.686936221949153,-17.571656268202645,-17.432361162910937,drafn_araf_ryn,-0.2390262854611933,-0.04478136867879812
35,-17.036108158189975,-16.97025355555249,-16.860868067894145,-16.69725573321675,-16.462199213957533,-16.1250653548324,-17.370763490465848,-17.332234141948348,-17.256547016062427,-17.137495644678253,-16.966029410665527,-16.72742094490944,-17.706564206759126,-17.697397831419764,-17.655719324207013,-17.58091548520872,-17.472939636506638,-17.329992020852913,-17.878883468196506,-17.88705909050931,-17.861990652847325,-17.808674383138992,-17.73119357299393,-17.630559243501665,-17.9007188912488,-17.913528698131998,-17.899181268024293,-17.859561355577796,-17.79691621826224,-17.711284596976583,-17.840305395655705,-17.853906538320373,-17.844978730578575,-17.813616231375505,-17.760028057096818,-17.68308518618194,eilian_pilin_fang,-0.03406414614336484,0.180875654622227
36,-14.586287206486034,-14.676708648383666,-14.681867281493751,-14.5775203831992,-14.377675493183377,-14.106970704517806,-14.927977899269068,-14.962898903849153,-14.933530468237905,-14.795096559141598,-14.563634267988633,-14.266749461795456,-15.225799839994565,-15.242064072502018,-15.189406554881272,-15.012911364703086,-14.746129421653194,-14.421562555109006,-15.377694272736392,-15.399477451630474,-15.3371786533545,-15.133964523249034,-14.84557896780069,-14.505352318231772,-15.434459807596554,-15.450896551668976,-15.380603085367014,-15.169169316292027,-14.875231464027408,-14.53103469420202,-15.42589747498056,-15.427224020320622,-15.348304165406162,-15.14399770076774,-14.85615093273114,-14.516173494899917,eilian_pod_firiel,0.021534404122888873,0.15679835311689772
37,-18.58822780717471,-18.59483849889113,-18.589984536446885,-18.56676625420034,-18.514527877471373,-18.424867293388793,-18.914697459802134,-18.93201602984265,-18.933608268246452,-18.90688364944355,-18.837811382717383,-18.71231150990736,-19.273697811907137,-19.306702454795364,-19.30907649949784,-19.26983285149951,-19.17233484185777,-19.005215278722,-19.461202978959484,-19.49089211657178,-19.476547645046132,-19.412907843114137,-19.298262826014216,-19.128358074795123,-19.50217586820168,-19.52150872358576,-19.496201446682925,-19.425585326564764,-19.312077153867797,-19.15658845912707,-19.4500298752666,-19.46180740187966,-19.43431873155119,-19.36764397109075,-19.264204778577582,-19.126321297018823,elu_rusc_nath,-0.02938555483247285,0.1795475709455019
38,-17.356298723245004,-17.470524414187935,-17.244111996215594,-16.698757396962606,-15.060804169405031,,-18.181524739258226,-18.27229300817504,-18.076414291214945,-17.582431449423396,-16.579792473825364,-13.842302261808342,-18.711627264937277,-18.85613271117569,-18.69002528919565,-18.18085363946021,-17.430122360926973,-16.656094477877446,-18.82397325613104,-18.982655862299808,-18.82655964067601,-18.387110312032164,-17.831141133829362,-17.400662823866767,-18.737219112400084,-18.899094458728996,-18.769573651303816,-18.40887371093615,-17.974591116218292,-17.63949001903005,-18.577959722294395,-18.740778943485637,-18.644927525354433,-18.354813320580575,-17.999662152609048,-17.7032081448707,elvellon_fast_annon,-0.2405356011784221,0.12560833966374219
